,Sim_Losses,default_rank,EP,Year
9741,36.51512410995023,9742.0,0.0974190258097419,10.0
9742,36.510263532375575,9743.0,0.0974290257097429,10.0
9743,36.50837563255219,9744.0,0.0974390256097439,10.0
9744,36.50527920463387,9745.0,0.09744902550974491,10.0
9745,36.49769900126584,9746.0,0.09745902540974591,10.0
9746,36.49304047969545,9747.0,0.0974690253097469,10.0
9747,36.49218439991318,9748.0,0.0974790252097479,10.0
9748,36.491013342077764,9749.0,0.0974890251097489,10.0
9749,36.48964238330037,9750.0,0.0974990250097499,10.0
9750,36.48879911699757,9751.0,0.0975090249097509,10.0
9751,36.48390218709763,9752.0,0.0975190248097519,10.0
9752,36.47877773271272,9753.0,0.0975290247097529,10.0
9753,36.47846513169411,9754.0,0.0975390246097539,10.0
9754,36.47816428012109,9755.0,0.0975490245097549,10.0
9755,36.47641000835699,9756.0,0.0975590244097559,10.0
9756,36.47521132462228,9757.0,0.0975690243097569,10.0
9757,36.47233663954176,9758.0,0.0975790242097579,10.0
9758,36.47096079248446,9759.0,0.0975890241097589,10.0
9759,36.46645904130219,9760.0,0.09759902400975991,10.0
9760,36.46494522525404,9761.0,0.09760902390976091,10.0
9761,36.46375814893891,9762.0,0.0976190238097619,10.0
9762,36.46350607789199,9763.0,0.0976290237097629,10.0
9763,36.4627717278949,9764.0,0.0976390236097639,10.0
9764,36.46106020168729,9765.0,0.0976490235097649,10.0
9765,36.460348000848576,9766.0,0.0976590234097659,10.0
9766,36.45677065262411,9767.0,0.0976690233097669,10.0
9767,36.453803940311275,9768.0,0.0976790232097679,10.0
9768,36.45152558910922,9769.0,0.0976890231097689,10.0
9769,36.443187402922995,9770.0,0.0976990230097699,10.0
9770,36.43585353677058,9771.0,0.0977090229097709,10.0
9771,36.43541698018539,9772.0,0.0977190228097719,10.0
9772,36.43193144615068,9773.0,0.0977290227097729,10.0
9773,36.43112268721457,9774.0,0.0977390226097739,10.0
9774,36.42975326579365,9775.0,0.09774902250977491,10.0
9775,36.429608020613735,9776.0,0.09775902240977591,10.0
9776,36.42843461090631,9777.0,0.0977690223097769,10.0
9777,36.42392000920219,9778.0,0.0977790222097779,10.0
9778,36.42249150195288,9779.0,0.0977890221097789,10.0
9779,36.41571439485209,9780.0,0.0977990220097799,10.0
9780,36.41430652917407,9781.0,0.0978090219097809,10.0
9781,36.41322404818673,9782.0,0.0978190218097819,10.0
9782,36.410203267924295,9783.0,0.0978290217097829,10.0
9783,36.40907538399158,9784.0,0.0978390216097839,10.0
9784,36.40789535685179,9785.0,0.0978490215097849,10.0
9785,36.40718059678188,9786.0,0.0978590214097859,10.0
9786,36.406528989506064,9787.0,0.0978690213097869,10.0
9787,36.40625572316348,9788.0,0.0978790212097879,10.0
